,position,company,location,details
0,Business Analyst Intern,RM Talent Solutions,"Washington, United States","Posted by
Azhar Ali Khan
Talent Acquisition Specialist-Global. Hiring student leaders across top US campuses at RM Talent Solutions.
Send InMail
Business Analyst Intern
About The Internship
A client of (Consulting Company) is looking to hire Business Analyst Interns for their team. This opportunity will help the candidate understand how to assess how organizations are performing and help them improve their processes and systems. They conduct research and analysis in order to come up with solutions to business problems and help to introduce these solutions to businesses and their clients.
Eligibility Criteria:
• Undergraduate- Preferable Graduation Year is 2023 or later.
• You are working towards a Bachelor's degree in Business Administration
• Minimum GPA: 3.0 strongly preferred, may consider 2.7 and above.
• Work Authorization: Applicants must be legally authorized for employment in the United States without the need for current or future employer-sponsored work authorization.

Job Requirements:
• Using data modelling techniques to identify ways in which an organisation can operate more effectively.
• Communicate with senior people in organisations to find out what they hope to achieve
• Formulate ways for businesses to improve, based on previous research
• Persuade internal and external stakeholders of the benefits of new technology or strategies
• Oversee the implementation of new technology and systems
• Run workshops and training sessions
• Exploring how the organisation is currently operating via research, which could include interviewing employees and collecting quantitative data
• Explore different solutions, their risks, benefits and impacts
• Proposing solutions to an organisation’s leaders, and keeping them updated with progress
Apply now and we'll connect with you to explore your best matches!"
1,Business Analyst Intern,RM Talent Solutions,"Maine, United States","Posted by
Khalid Ansari
Recruitment Specialist at RM Talent Solutions
Send InMail
Important: This job post is not an opportunity to work for RM Talent Solutions. We work with RippleMatch which is a recruitment platform and encourage students to sign up on RippleMatch. Once you apply for this job position, we will chat with you to further assist you about how to create a profile on RM and help you with your applications.
About Us
RM Talent Solutions is a platform that helps business grow and operate. RippleMatch is one of our clients which is a job matching platform that helps companies such as Texas Instruments, Anheuser-Busch, Siemens, eBay, and hundreds more recruit faster and with more convenience.
We are shaping the way college students find jobs and internships. We work with several top-tier companies, Fortune 500's, start-ups, and non-profits.
We use Artificial Intelligence which makes sure that companies find the best candidates for their job roles and students find best positions where they get a higher chance to secure a job/internship than the traditional recruitment methods.
If you meet the below eligibility criteria, please apply and our recruitment team will connect with you to understand your strengths and strategize your career ahead.
We aim to build a strong connection with all of our applicants, so that we may help them achieve their career goals both today and in the future.
Eligibility Criteria:
Your undergraduate graduation year is 2022 or later.
You are working towards a Bachelor's/Master’s/Ph.D degree.
Job Requirements:
To apply for a Business analyst Internship, candidates must meet the following requirements:
Minimum GPA: 3.0 strongly preferred, may consider 2.7 and above.
Work Authorization: Applicants must be legally authorized for employment in the United States without the need for current or future employer-sponsored work authorization.
Desire to work within the United States
Apply now and we'll connect with you to explore your best matches!"
2,Business Analyst,Cisco,"New York, NY","Who We Are

Cisco Security – at Cisco we deliver intelligent cybersecurity for the real world, providing one of the industry's most comprehensive advanced threat protection portfolios that is integrated, pervasive, continuous, and open. Cisco's threat-centric approach to security reduces complexity while providing unmatched visibility, continuous control and advanced threat protection.

Who You Are

As an Security Licensing Specialist, you will assist in support tickets related to licensing questions and concerns. Looking for a candidate who can review business processes and make process improvement recommendations.

This role offers the extraordinary opportunity to interact with all parts of the business. Not only does it require a high-touch customer interface, but it also puts you in direct contact with Product, Sales, Renewals, Marketing, Engineering, UX, and Support. You will have the opportunity to use, showcase, and grow your operations skills, drive internal programmatic changes to better service our customers, and be part of an amazing Cisco Security Business Group.

What You'll Do
Work closely with various technical and internal support teams to resolve cases related to licensing queries
Ensure that the quality and frequency of support are consistent with the Cloud Security customer cases
Work closely with internal teams, including Sales, Renewals, Business Systems, Sales Operations, to ensure the successful resolution of all licensing related queries.
Create and maintain documentation for processes and workflows as needed.
Track progress and follow up on cases created by customers, partners and internal teams
Minimum Qualifications
3+ years’ work experience in an equivalent capacity
Excellent communications skills both written and verbal
A true passion for customers and customer success
Experience with SaaS-based applications and services
Self-starter, high energy, positive attitude, customer focused, detailed oriented
Bachelor's degree or equivalent experience
Strong customer service, management, listening, and presentation skills
Ability to juggle multiple tasks
Experience with SaaS-based applications and services
Experience working with Salesforce and Zendesk a plus

Why Cisco

The Internet of Everything is a phenomenon driving new opportunities for Cisco and it's transforming our customers' businesses worldwide. We are pioneers and have been since the early days of connectivity. Today, we are building teams that are growing our technology solutions in the mobile, cloud, security, IT, and big data spaces, including software and consulting services. As Cisco delivers the network that powers the Internet, we are connecting the unconnected. Imagine creating unprecedented disruption. Your revolutionary ideas will impact everything from retail, healthcare, and entertainment, to public and private sectors, and far beyond. Collaborate with like-minded innovators in a fun and flexible culture that has earned Cisco global recognition as an extraordinary place to work. With roughly

10 billion connected things in the world now and over 50 billion estimated in the future, your career has exponential possibilities at Cisco.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
3,U.S. Private Banking & Wealth Business Analytics Analyst,Citi,"New York, NY","Job Id: 22461117

This is a Business Analytics Lead Analyst role focusing on US Branded Cards and US Retail Banking within the larger US Consumer Strategy and Analytics (USCA) organization. The business analyst is responsible for delivering profitable customer growth, optimizing return and providing actionable insights for the Branded Cards and Retail Banking organization in the US. The analyst will work closely with the Finance, Risk, Product and Marketing organizations as well as across USCA. The business analyst will drive profitable growth thru proactively analyzing/providing insights into customer behavior, understanding financial and profit and loss dynamics and building a deep knowledge of the customer (i.e. consumer and small business, on/off-us behavior, micro and macroeconomic drivers). Ability to influence internal and external stakeholders and strong communication skills both verbal and in presentations of analytical data are a necessity. The analyst will provide insights to drive customer engagement in all aspects of customer behavior, determine segmentation and targeting strategies for new and existing marketing campaigns and forecast and build business cases.

Responsibilities:
Develop strong working relationships and deep trust with business partners
Construct and articulate analytical frameworks to solve business challenges
Extract actionable insights based on advanced analysis of customer behavior
Develop test and learn strategies; measure impact of programs and portfolio performance
Drive innovative thinking about leveraging new tools/methods to step change the analytical capability of the organization
Ensure robust quantity control in the analytical processes
Leverage statistical techniques (segmentation, basic modeling techniques) to enhance the efficiency of targeting
Control, Legal, and Compliance documentation/socialization to ensure targeting and offer strategies meet or exceed regulatory/internal guidelines
Qualifications:
3+ years of analytical experience
Intense passion and curiosity
Ability to frame business questions and influence business partners
Excellent business analytics skills and a foundation in multivariate statistical techniques
Fundamental understanding of financial profit and loss drivers
Strong SQL, SAS and relational database skills in a large volume environment
Python & R are considered highly desirable
Education:
Bachelors/University degree, Master’s degree preferred
-------------------------------------------------

Job Family Group:

Decision Management

-------------------------------------------------

Job Family:

Business Analysis

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting

Effective November 1, 2021, Citi requires that all successful applicants for positions located in the United States or Puerto Rico be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccination prior to commencement of employment."
4,Business Analyst Intern,2 a.m. Talent,"Jacksonville, FL","Responsibilities vary depending on assigned projects(s) and may include:

• Participating on project teams responsible for developing solutions within Service & Operations to enhance the advisor, client, and employee experience.
• Collaborate with leaders and colleagues across the world on innovative process improvements, solutions, and applications.
• Gain familiarity with the tools used at Ameriprise to conduct day-to-day business and propose enhanced user experiences.
• Understand business needs and infrastructure necessary to support advisors and clients.
• Participate in a group project with other Business Operations Interns to collaborate and produce a project to be presented to Service & Operations leadership at the end of the internship.

Required Qualifications

High School Diploma or GED- Required
Associate's Degree in related field- Required
Bachelor's or Master's Degree- Preferred
Excellent Communication Skills"
5,Payments Business Analyst,Amazon,"Seattle, WA","Job Summary

DESCRIPTION

PIKE (Payment Issues, Kaizen, and Experience), part of the larger PBO (Payments Business Operations) organization, is a center of operational excellence that manages the payments customer experience, filling the operational gap between the business and technology teams to provide a seamless payments and financial experience to internal and external customers.

A business analyst (BA) in PIKE is responsible for driving operational excellence to improve the experience for customers across global payments products. You are data driven utilizing analysis and documentation to ensure that customer operational pain points are effectively prioritized with business, technical, and customer support teams. You will work to identify, execute, and drive projects with internal and external business partners to automate or improve business processes.

You own operational issues ranging from individual customer tickets to large scale events, providing and executing mitigation steps and management of customer communication plans. You are quick to understand system flows and business processes, and are viewed as a deep subject matter expert in payments and operations support workflows by colleagues, accounting, and technical teams.

You are able to deep dive into system and support workflows, provide recommendations, and drive changes to large customer support processes and payments workflows. You own annual deep dive and monthly reporting for operational performance, and the setup and reporting of measurements used to determine the customer experience for payments operational workflows.

In This Role Your Will
Solve ambiguous issues on a variety of operational issues with less well-defined inputs and outputs; drive to the heart of the problem and identify root causes
Define operational support models; review and vet operational reporting with stakeholders
Translate complex business problem statements into analysis, technical, and business requirements, and proactively and independently work with stakeholders to construct use cases and associated standardized outputs
Enable automated operational solutions at scale; setup processes with self-service reporting, and work with product and technical teams to enable full-scale automation, and have a working knowledge of the support tooling and mechanisms available by the wider business for more complex operational issues.
Setup or improve operational processes that require less operational overhead and reduce time to resolution, and have the capability to make changes to large customer impacting workflows through the use of additional tools and reporting
Derive recommendations from analysis that significantly impact a department, create new processes, or change existing processes
Identify and implement optimal communication mechanisms based on project and the stakeholders involved
Communicate complex analytical insights and business implications effectively
Actively manage the timeline and deliverables of projects, focusing on interactions in the team
Provide program communications to stakeholders
Communicate roadblocks to stakeholders and propose solutions, and represent team on medium-size analytical projects in own organization and effectively communicate across teams

Basic Qualifications
2+ year's Payments industry experience
Business level written and verbal communication for Spanish language.
Preferred Qualifications
SQL experience preferred
Background utilizing analytical skills and problem solving abilities to influence teams
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A2034124"
6,Deposit Products Business Analyst,First Hawaiian Bank,"Honolulu, HI","Posted by
Paul Chen
Seeking top talent with a passion to support our local community to join the First Hawaiian Bank Ohana. It all starts with Yes! Let’s chat!
Send InMail
We are currently seeking a collaborative, highly analytical, continuous-improvement focused Deposit Products Business Analyst to join our Deposit Products Team. In this role, you will be responsible for assisting with the development, implementation, and maintenance of existing, new or enhanced computerized systems and business processes, review business and application processes to improve efficiency and reduce costs, creates test plans and conducts testing for application software changes and/or new releases.
The successful candidate will be hired for the level of the position that aligns with their experience.

The ideal candidate will have
3 years’ professional level experience in applications support or related banking experience.
Bachelor’s Degree in an information technology related field or equivalent work experience.
Coursework or work experience in finance preferred.

For more information and to apply, please go to www.fhb.com/careers

About First Hawaiian Bank
Are you interested in working alongside a group of dynamic thinkers, innovators, and leaders who thrive together as a team? Looking for a fun, collaborative, and challenging environment where you are empowered to make decisions? Would you like the opportunity to grow professionally and personally within a forward-thinking company? If so, you've come to the right place. At First Hawaiian Bank, we invest in you. We offer an award-winning training and development program to set you up for success. We pride ourselves on our company culture and core values: Caring, Character, and Collaboration. We also offer a comprehensive benefits program, including medical, 401(k), life insurance, tuition reimbursement, paid vacation, retiree benefits, and more!"
7,Business Analyst,Dice,"New York, NY","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Grant-Peters Associates, is seeking the following. Apply via Dice today!

Our client, the Capital Markets division of an extremely successful international investment bank, is looking for a BA to be part of a team responsible for working with stakeholders and developers to build, implement and support applications for the firm's derivatives business. You will gather and analyze technical requirements, facilitate daily and weekly scrums, support agile activities such as user story creation, track milestones, deliverables and dependencies, and write user and QA test plan documentation. Candidates must be college graduates with 2-5 years of experience in Capital Markets including an understanding of derivatives trading, exceptional analytical, verbal and written communication skills, and strong Excel skills. Experience with SQL would be a plus. This is an extremely visible position with an expanding department within Capital Markets. In addition, the bank offers a bonus of 15-20 and excellent benefits."
8,Business Analyst Intern,2 a.m. Talent,"Charlotte, NC","Responsibilities vary depending on assigned projects(s) and may include:
• Participating on project teams responsible for developing solutions within Service & Operations to enhance the advisor, client, and employee experience.
• Collaborate with leaders and colleagues across the world on innovative process improvements, solutions, and applications.
• Gain familiarity with the tools used at Ameriprise to conduct day-to-day business and propose enhanced user experiences.
• Understand business needs and infrastructure necessary to support advisors and clients.
• Participate in a group project with other Business Operations Interns to collaborate and produce a project to be presented to Service & Operations leadership at the end of the internship.

Required Qualifications

High School Diploma or GED- Required
Associate's Degree in related field- Required
Bachelor's or Master's Degree- Preferred
Excellent Communication Skills"
9,Business Analyst Intern,2 a.m. Talent,"Pittsburgh, PA","Responsibilities vary depending on assigned projects(s) and may include:
Participating on project teams responsible for developing solutions within Service & Operations to enhance the advisor, client, and employee experience.
Collaborate with leaders and colleagues across the world on innovative process improvements, solutions, and applications.
Gain familiarity with the tools used at Ameriprise to conduct day-to-day business and propose enhanced user experiences.
Understand business needs and infrastructure necessary to support advisors and clients.
Participate in a group project with other Business Operations Interns to collaborate and produce a project to be presented to Service & Operations leadership at the end of the internship.

Required Qualifications
High School Diploma or GED- Required
Associate's Degree in related field- Required
Bachelor's or Master's Degree- Preferred
Excellent Communication Skills"
