,position,company,location,details
0,Data Analyst,Robert Half,"New York, NY","Description
Performing UAT testing of new or changed processes and report issues to management and internal developer
VBA and SQL experience preferred
Reviewing junior data analysts’ performance of CIRS’ established processes that monitor the integrity and reasonability of data using Excel, Access and other programs
This Data Analyst will not have to be hands on with coding, my POC asked for strong UAT testing, Excel and Access. If they’re strong with VBA and SQL it will be a plus.

Requirements

Data Analysis

Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit

© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to"
1,Data Analyst - Target Circle (Full-Time Remote Or Hybrid),Target,"Minneapolis, MN","Description

About us:

Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.

Behind one of the world’s best loved brands is a uniquely capable and brilliant team of analysts, scientists, product owners and engineers. The Target Data & Analytics team creates the tools and data products to sustainably educate and enable our business partners. Join Target’s Marketing Data Analytics team where your goal will be to help the Marketing team make impactful data-driven decisions. You will do this by becoming a trusted advisor to your partners through thought leadership, data accument and effective storytelling. A role with Target’s Marketing and Digital Data Analytics team is a chance to help develop our in-house strength for getting the maximum value from Target’s many data assets. We see data as a product, and as an opportunity to refine our approach to the ever evolving retail landscape. Together, we create positive impact across Marketing iniatitives that require actionable insights, measurement, and analysis, to server our guests better.

About This Career
This role is centered around data, analysis, metrics development, experimentation (A/B Testing) and its application to Target Circle, Target’s Loyalty Program
Develop impactful visualizations and insights and be able to communicate them to business partners in a clear, compelling manner
Build expertise in Data function and integrate with business partners and other data teams to accurately assess Target Circle strategies
Support creation of problem statement, approach, and the metrics and measurement strategy, including success criteria, to determine and improve the value of your work through a deep understanding of the business, business process, data ecosystem and rapid data mining
Be self-directed and drive execution towards outcomes, learn business interdependencies, conduct detailed problem solving, use independent judgement and decision making to deliver as per product scope, provide inputs to establish product/ project timelines
Measure success rate of how dashboard/analysis/insights are adapted into decision making, create feedback loops to enhance analysis
Engage with learning forums to help increase awareness and adoption of current technical topics relevant for Data Analyst competency e.g. BI tools and technologies; Descriptive & inferential analytics
Job duties may change at any time due to business needs.

About You
Bachelor’s degree with strong academic performance in a quantitative field; or strong equivalent experience
Experience writing complex SQL queries
Strong data curiosity with solid problem solving and analytical skills
Support conclusions with a clear, understandable story that leverages descriptive statistics, basic inferential statistics, and data visualizations
Willingness to ask questions about business objectives and the measurement needs for a project workstream, and be able to measure objectives & key results
Excellent communication skills with the ability to speak to both business and technical teams, and translate ideas between them
Knowledge of A/B Testing methods, including statistical analysis
Experience in analytics tools such as: SQL, Excel, Hadoop, Hive, Spark, Python, R, Domo and/or equivalent technologies
This position may be considered for a Full-Time Remote or Hybrid work arrangement based on Target’s needs. A Hybrid work arrangement means the team members core role will be a blend of virtual and onsite at a Target location. A Full-Time Remote work arrangement means the team member works full-time from home or an alternate location that’s not a Target location, does not have a desk at their primary HQ work location and may travel to HQ up to 4 times a year.

Colorado, Connecticut or Nevada Residents Only: The salary range for Colorado, Connecticut or Nevada residents is $52,200 to $94,000 Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Find competitive benefits from financial and education to well-being and beyond.

Americans With Disabilities Act (ADA)

Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information."
2,Data Analyst,Dice,"New York, NY","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Radus Tek Services, is seeking the following. Apply via Dice today!

OracleSQL, PLSQL Python, R, Tableau With BSA and AML skills are a strong preference, 4+ years of experience (ideally with previous financial services or management) The 2+ doesnrsquot necessarily need. The ideal candidate would have most of the technical experience and the AML background, ideally with previous financial services or management."
3,Data Analyst,DistroKid,United States,"Summary

The DistroKid Product team is looking for analytics candidates with investigative mindsets who want to have an impact within a rapidly growing organization. Candidates will work alongside DistroKid product managers, designers, and engineers to define learning agendas, instrument and measure the metrics that matter, and ensure our strategy is backed by data as we pursue our mission of helping every music creator be more prolific.

The ideal candidate will be highly motivated, reliable, detailed, and driven to produce high quality work. This individual must thrive in an entrepreneurial, fast-paced environment.

What You Will Do
Design and implement data views and reporting dashboards (using SQL and other technologies) that track key product metrics and provide actionable, self-serve insights to DistroKid product teams
Communicate insights and recommendations through clear visualizations, presentations, and data storytelling
Help define and scale up DistroKid’s culture, capabilities, and processes for A/B testing, experimentation, and long-term attribution of metric movement to specific features/changes
Skills Required
Bachelor's degree in a STEM field
Knowledge of SQL and some knowledge of relational databases
Statistical competence such as regression modeling, A/B testing, significance testing, etc
Proven experience with end-to-end product development and experimentation (from idea to launch to iteration)
Strong data quality management skills (attention to detail) and competence for performing analytics on large datasets (for eg. through Python or R coding)
Demonstrated verbal and written communication skills
Ability the thrive in remote work atmosphere
Willingness to work independently and as part of a team
Extra credit: Passion for music and desire to support independent musicians

About DistroKid
Founded in 2013, DistroKid distributes 30-40% of all new music in the world. They have built their business on providing musicians, managers and record labels with online tools and services that are innovative, easy-to-use, and affordable. More than 2 million artists rely on DistroKid, including hobbyists, up-and-coming musicians, top influencers, and international stars. DistroKid’s expanding array of services include music distribution, monetization, metadata customization, storage, and promotion. DistroKid’s small staff, coupled with a largely automated backend, has enabled DistroKid to process nearly 20 million songs, while simultaneously providing fast, personal & friendly customer service to artists of every size. Also, it’s fun to work here. :)

For more information, visit https://distrokid.com

DistroKid is an Equal Opportunity employer."
4,LATAM Markets Data Analyst,Citi,"New York, NY","Job Id: 22460268

This AVP Data Analyst role supports LATAM Markets, a regional franchise that has Sales & Trading teams in 21 countries, spans multiple products including FX, Rates, Markets Treasury, Global Spread Products, Commodities and Equities, and includes Financial Institution and Corporate client segments. We believe that effective use of data has direct and measurable benefits for revenue generation and capital efficiency, and as such is an integral part of our business strategy. The Data Analyst role is responsible for working closely with our Business, Technology and Innovation teams to originate impactful data use cases and increase data literacy across our business. A primary focus will be implementing solutions that enable our sales & trading, business management and risk & control teams to convert analysis and insights into action.

Responsibilities:
Develop and maintain consultative relationships with Sales & Trading and business management teams to deeply understand business and client problems and priorities.
Design and manage a data use case project pipeline and prioritization process to meet the requirements of business stakeholders. Use cases may include exploratory analysis, client segmentation, financial and human resource allocation, prediction engines, optimization and recommendation systems.
Lead fast-cycle prototyping and proof of concept activities to evaluate proposed solutions and approaches, and drive implementation and adoption.
Liaise between the business and multiple data repositories to understand our data architecture and lineage.
Lead discussions with technology teams as well as internal and external market data repositories to identify, extract and acquire data needed for business solutions (e.g., OLYMPUS, OCEAN, PEARL, GDW, CARD, etc.).
Build and maintain data management solutions, dashboard and visualization tools from requirements through design and implementation. Tools may include Tableau, Power BI or other solutions.
Serve as a subject matter expert in Citi Markets-relevant data sets generated by and used by our front office and O&T teams.
Qualifications:
Analytical Skills – Knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, decision trees, cluster analysis, neural networks, etc.). Experience in applying these to solve business problems and ability to work independently on analytical tasks.
Teamwork – Ability to work with and in cross-functional and virtual teams across locations.
Conceptual thinking – Ability to think strategically about analytics and their value to the organization.
Communication – Ability to think quickly and communicate effectively with technical and non-technical stakeholders.
Ability to deliver results while dealing with ambiguity in a fast-paced, dynamic environment.
Location flexible depending on candidate location.
Education:
Undergraduate degree in quantitative field (e.g., Math, Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate degree preferred.
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

-------------------------------------------------

Job Family Group:

Technology

-------------------------------------------------

Job Family:

Data Analytics

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting

Effective November 1, 2021, Citi requires that all successful applicants for positions located in the United States or Puerto Rico be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccination prior to commencement of employment."
5,Data Analyst II Remote Available,Centene Corporation,"Texas, United States","You could be the one who changes everything for our 25 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, multi-national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose
Interpret and analyze data from multiple sources including claims, provider, member, and encounters data. Identify and assess the business impact of trends
Develop, execute, maintain, and troubleshoot complex scripts and reports developed using SQL, Microsoft Excel, or other analytics tools
Support execution of large-scale projects with limited direction from leadership
Identify and perform root-cause analysis of data irregularities and present findings and proposed solutions to leadership and/or customers
Manage multiple, variable tasks and data review processes with limited supervision within targeted timelines and thrive in a demanding, quickly changing environment
Support the design, testing, and implementation of process enhancements and identify opportunities for automation
Apply expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how customers interact with analytic products
Support multiple functions and levels of the organization and effectively, both verbally and visually, communicate findings and insights to non-technical business partners
Independently engage with customers and business partners to gather requirements and validate results
Communicate and present data-driven insights and recommendations to both internal and external stakeholders, soliciting and incorporating feedback when required
Our Comprehensive Benefits Package
Flexible work solutions including remote options, hybrid work schedules and dress flexibility
Competitive pay
Paid Time Off including paid holidays
Health insurance coverage for you and dependents
401(k) and stock purchase plans
Tuition reimbursement and best-in-class training and development
The Data Analyst (Healthcare Analytics) will have the opportunity to make a significant impact through the discovery, development, and implementation of leading-edge analytics that answer important business questions. The analyst will collaborate with key corporate and health plan business partners for the purpose of identifying and delivering robust reporting and analytics capabilities to drive improved business performance.

Education/Experience
Bachelor’s degree in business, economics, statistics, mathematics, actuarial science, public health, health informatics, healthcare administration, finance or related field or equivalent experience.
2+ years of experience working with large databases, data verification, and data management, or 1+ years IT experience.
Healthcare analytics experience preferred.
Knowledge of query development of basic to moderate complexity using SQL or other coding languages.
Knowledge of basic statistical, analytical, or data mining techniques including basic data modeling, trend analysis, and root-cause analysis preferred.
Working knowledge of analytical tools, including R, Python, SAS, ArcGIS, QGIS, Microstrategy, Tableau, Hadoop, or related tools preferred.
Working knowledge of relational databases preferred.
Working knowledge of automation capabilities such as batch processes, stored procedures, scripting languages, Microstrategy, or other tools preferred.
Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law."
6,"Data Analyst, Private Banking Group Analytics, AVP",Morgan Stanley,"New York, NY","Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries.

Morgan Stanley’s lending, deposit, and cash management solutions are delivered through Wealth Management’s Private Banking Group (“PBG”) which is responsible for developing, launching and managing innovative banking and lending services tailored for Wealth Management clients through bank entities, Morgan Stanley Bank, NA (“MSBNA”), Morgan Stanley Private Bank NA (“MSPBNA”), and E*TRADE Bank. These services include home loans, securities-based loans, deposit accounts, access to a range of banking services, and a growing array of digital banking and lending capabilities. PBG and the Banks are important contributors to both the revenue and earnings of Wealth Management and represent a significant growth opportunity for the Firm.

The PBG Analytics team provides data driven insights to the PBG product, sales and marketing teams and advises Senior Leadership on key decision points through analytics and research. This highly collaborative team is looking for a strategic thinker with excellent data and analytical skills - someone with a passion for driving business growth by developing hypotheses, uncovering new opportunities, and quantifying their potential impact.

Position Summary
Highlight business trends and identify potential growth opportunities to drive higher adoption of PBG deposit and lending solutions across our Wealth Management Advisor and Client base
Determine efficacy of strategic initiatives by researching and analyzing data pertaining to banking and lending
Collaborate with various business units to develop customized reporting in support of ongoing initiatives
Analyze multi-touch client interactions (advisor driven, direct to client, digital, etc.) and determine impact of each
Research questions from senior management and deliver data-driven solutions to complex business problems
Experience/Skills Required
Looking for a candidate with strong analytical skills that can summarize key findings in a succinct manner for senior management. Must be an excellent communicator with outstanding listening skills.
Bachelor’s Degree in Mathematics, Economics, Computer Science or related education, supported by 3-5 years of experience in an analytics role
Strong experience with analytical packages (SQL, SAS, Dataiku, etc.) and familiarity with Python/R
Experience with data visualization tools (Tableau) a plus
Experience and/or interest in wealth management, banking and lending
Must be highly motivated and comfortable working in a fast paced environment. Also looking for someone that enjoys challenges and has an ability to assess issues from multiple angles.
Posting Date

Mar 22, 2022

Primary Location

Americas-United States of America-New York-New York

Other Locations

Americas-United States of America-New York-Purchase

Education Level

Bachelor's Degree

Job

Wealth Management

Employment Type

Full Time

Job Level

Assistant Vice President"
7,Data Analyst Advisor,FedEx Services,"Memphis, TN","Company: FedEx Services

Job Title: Data Analyst Advisor

Job Requisition Number: RC501846

Category: Decision Science & Analytics

Pay Type: Exempt

Locations:

Memphis, Tennessee 38125

United States

Designs and implements advanced processes and analytics associated with a wide variety of data sets used for data/text mining, analysis,and prediction to Enable informed business decisions. Gains insight into key business problems and deliverables by applying highly technical analysis techniques analysis techniques to examine structured and unstructured data from multiple disparate Sources. Provide insight from initial concept to fully tested production, and communicates results to a broad range of audiences. Effectively uses current and emerging technologies to evaluate trends and develop actionable insights and recommendations to management, via understanding of the business model and the information available for analysis. Typically uses data, statistical and quantitative analysis, basic modeling, and fact-based management to drive decision making. Mentors less senior staff. Works in cross functional projects and programs. Routinely presents to management.

Minimum Qualifications

Bachelor's degree in information systems, computer science, or a quantitative discipline such as mathematics, engineering, operations research, economics or finance. Seven (7) years equivalent work experience in measurement and analysis, quantitative business problem solving, operations analysis, marketing analysis, simulation development and/or predictive analytics. Superior analytical skills with diverse analytics and statistical software and applications. Excellent interpersonal skills, written and oral communication Skills. Proven leadership skills.

Application Criteria / Deadline

To apply for this position please upload your current resume in pdf. format, not Word, and complete the online questionnaire by close of business on April 22, 2022.

Domicile / Relocation / Pay Information:

This position will be domiciled in Memphis, TN.

Pay Code: SL

Relocation is available.
Proficiency in SQL language, dashboard development (Power BI preferred), and ETL development
Knowledgeable in Microsoft SQL Server, Oracle, Microsoft AZURE Synapse, and Teradata databases
Knowledgeable in revenue, pricing and sales systems
Strong project leadership, project management, analytical and communication skills
Knowledgeable in Microsoft SSIS preferred
Bonus skills include Machine Learning (AZURE preferred)
FedEx. Where now meets next.

Our vision is to be the earth's most engaged advocates of connected commerce where open borders, new markets and fair, sustainable practices are the norm for the billions of personal supply chains being managed every day in our always on, mobile-first world. We stand for ease, access and opportunity. We lead purposeful innovation, champion entrepreneurs, advocate free trade and empower humans and their place in the era of autonomy and AI. We fight for our customers, a more sustainable planet and an ethical playing field.

FedEx inspires its more than 570,000 team members to remain focused on safety, the highest ethical and professional standards and the needs of their customers and communities. FedEx is committed to connecting people and possibilities around the world responsibly and resourcefully, with a goal to achieve carbon-neutral operations by 2040.

FedEx has been recognized on many different lists both for business success and for being a great employer:
Fortune ""World’s Most Admired Companies"" – 2021
Forbes ""Best Employers for Diversity"" - 2021
LinkedIn ""Top 100 Companies"" - 2021
TIME ""100 Most Influential Companies"" - 2021
World HRD Congress ""Best Gender Equality Workplace"" – 2021
InsiderPro ComputerWorld ""Best Places to Work for IT"" – 2021
Application Instructions/Deadline

Upload current copy of Resume (Microsoft Word or PDF format only) and answer job screening questionnaire by close of business (5:00pm CST) on the date below. If the date below is blank, there is no specified closing date for this requisition.

FedEx Services is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, genetics disability, or protected Veteran status.

FedEx Services does not discriminate against qualified individuals with disabilities in regard to job application procedures, hiring, and other terms and conditions of employment. Further, FedEx Services is prepared to make reasonable accommodations for the known physical or mental limitations of an otherwise qualified applicant or employee to enable the applicant or employee to be considered for the desired position, to perform the essential functions of the position in question, or to enjoy equal benefits and privileges of employment as are enjoyed by other similarly situated employees without disabilities, unless the accommodation will impose an undue hardship. If a reasonable accommodation is needed, please contact recruitmentsupport@fedex.com."
8,Data Analyst,Robert Half,"Hicksville, NY","Description

We are currently seeking a Business Data Analyst, who is responsible for gathering information in collaboration with our Business Leaders, Finance, and other key end users to develop reporting capability across the organization. This will entail conducting needs analysis, and creating, building, and maintaining accurate analytics reporting tools & processes.

This role will be located in Ronkonkoma, NY.

Business Data Analyst Perks
Competitive Pay
Medical, Dental, and vision insurance
Vacation and PTO time
Family-oriented company culture, business casual attire.
Employee Discounts
Business Data Analyst Responsibilities
Lead efforts to introduce and develop MSSQL data warehouse solutions to support legacy ERP systems
Create and define the dashboard, KPI’s, and self-service reporting solutions for executives, business leaders and CRM users
Develop repeatable self-service reporting as well as ad-hoc reports for all levels of the organization
Build out shipping systems to improve operational efficiency
Ensure designs are aligned with system framework and maintain data integrity
Partner with leaders to drive the use of the reporting tool
May perform other duties and participate in additional projects as required by the business
Business Data Analyst Qualifications
The ideal candidate should have a solid understanding of database concepts (i.e., normalizations, schemas, table spaces, temporary tables, views indexes, sequencing, and partitions.
At least 2 years of professional work as a Data Analyst or in an analyst role.
Solid understanding of the software development lifecycle
Bachelor’s degree in Computer Science, Statistics, Engineering, Mathematics or related field, or comparable experience.
Requirements

Microsoft SQL, MS Excel

Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Questions? Call your local office at 1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit

© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to"
9,Data Analyst(Banking),Dice,"Pittsburgh, PA","Dice is the leading career destination for tech experts at every stage of their careers. Our client, Acunor Infotech, is seeking the following. Apply via Dice today!

Hello Hope you are doing well! I found your candidature in one of our job portals, please find below job description and let me know your interest, looking forward to hearing from you soon. Job title Data Analyst Location NCPA Duration Full Time Year of Experience 2-4 years Investment banking experience Must know Python and SQL Should have banking experience"
