,position,company,location,details
0,Data Scientist,CVS Health,"New York, NY","Job Description

Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions
Explores, examines and interprets large volumes of data in various forms
Performs analyses of structured and unstructured data to solve moderately complex business problems
Utilizing advanced statistical techniques and mathematical analyses
Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs
Uses data visualization techniques to effectively communicate analytical results and support business decisions
Creates and evaluates the data needs of assigned projects and assures the integrity of the data
Explores existing data and recommends additional sources of data for improvements
Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics

Required Qualifications

1+ years of relevant analytic experience
Experience programming using R or Python
Experience in SQL

COVID Requirements

COVID-19 Vaccination Requirement

CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.

You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.

Preferred Qualifications

Demonstrates good written and verbal communication skills. Able to present information to various audiences
Effectively resolves problems and roadblocks as they occur
Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization
Ability to work with large data sets from multiple data sources
Education

Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master's degree preferred

Business Overview

Bring your heart to CVS Health

Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.

We strive to promote and sustain a culture of diversity, inclusion and belonging every day.

CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law."
1,Part-Time Junior Data Scientist (Remote),"KBR, Inc.","Lexington Park, MD","Junior Data Scientist (Part-Time)

Searching for an intro-level data scientist eager to gain exposure to solving real-world problems with data-driven solutions. This applicant is expected to be familiar standard data science approaches such as data ingest, ETL, preprocessing, model building, model deploying, and monitoring models once deployed. More specifically, they will demonstrate experience working with raw data by processing and ingesting into a database, cleaning it to be fed into a model, and deploying it for some application. Along with this, the applicant can explain findings clearly to a general audience.

Job Description
Troubleshoot problems with data ingesting and processing
Contribute to research and identification most accurate model architecture for current problem.
Collaborate in data science meetings by presenting on theoretical or applied data science topics
Demonstrate the ability to troubleshoot in cloud compute environments such as AWS, Azure, and Google Cloud
Develop visualizations to convey meaningful insights
Present insights from models to non-technical crowd to convey findings
Suggest meaningful approaches, models, and services to addressing problems.
Stay informed about trends and recent capabilities within data science.
Requirements
Undergraduate degree in or completing a degree data science, statistics, computer science, or a relative quantitative field.
Moderate experience in Python or R is preferred. Other equivalent languages are considered.
Understanding of relational database querying language such as SQL
Experienced in machine learning and also, neural network techniques is preferred
Ability to explain insights in laymen’s terms in order inform business decisions
Exposure to one more neural network framework – Tensorflow, Torch/ PyTorch, ONNX, etc
Previously worked with distributed compute environments such as Hadoop."
2,Data Scientist,CVS Health,"New York, NY","Job Description

At Aetna, a CVS Health company, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive, and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We are committed to maintaining a diverse and inclusive workplace. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, gender, gender identity, age, disability or protected veteran status. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.

Position Summary

Aetna’s Clinical Analytics team creates innovative analytic tools to drive better healthcare outcomes. We’re currently seeking a Data Scientist to support the development and implementation of analytic capabilities that measure and enhance the value of integration of CVS Health products and programs. Responsibilities include development of advanced analytics, predictive models and machine learning/deep learning algorithms to identify care opportunities, prioritization of clinical recommendations, evaluation of program performance, and optimization of information delivery. The Data Scientist will collaborate with other data scientists and business partners and will participate in all phases of initiatives from exploration of clinical opportunities, development of solutions, to partnering with IT and business teams for implementation.

FUNDAMENTAL COMPONENTS
Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions
Explores, examines and interprets large volumes of data in various forms
Performs analyses of structured and unstructured data to solve moderately complex business problems utilizing advanced statistical techniques, machine learning algorithms, and mathematical analyses
Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs
Uses data visualization techniques to effectively communicate analytical results and support business decisions
Creates and evaluates the data needs of assigned projects and assures the integrity of the data
Explores existing data and recommends additional sources of data for improvements
Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics

Required Qualifications

2 or more years of experience with complex data management and analytics.
Strong knowledge of statistical methodology, predictive and inferential modeling, data mining and exploration and machine learning techniques.
Experience using R and/or Python to manipulate large datasets and deploy quantitative techniques ranging from descriptive statistics to deep learning.
Ability to write SQL code to extract, organize and aggregate data from various data sources (e.g. GCP, Hadoop, Netezza or DB2)

COVID Requirements

COVID-19 Vaccination Requirement

CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.

You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.

Preferred Qualifications

Understanding of health care industry and clinical research concepts.
Demonstrates ability to clearly communicate technical concepts, results and implications to management and internal stakeholders.
Education

Bachelor’s degree required; Master’s degree preferred. Degree or relevant work experience in Mathematics, Statistics/Biostatistics, Epidemiology, Economics, or related discipline.

Business Overview

Bring your heart to CVS Health

Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.

We strive to promote and sustain a culture of diversity, inclusion and belonging every day.

CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law."
3,Data Scientist,Intel Corporation,"Atlanta, GA","Job Description

Platform Security Engineering (PSE) is a small, high-output team in the Software and Advanced Technology Group. Our team invents next-generation ""AI for Security"" solutions to detect cyber threats using Intel CPU features and machine learning techniques http://www.intel.com/tdt. Solutions developed by our team have been deployed in over a billion systems.

We are seeking a motivated Data Scientist to research and develop innovative, industry-leading Machine Learning (ML)-based products delivered by our industry-leading partners. The candidate will collaborate with other team members and our partners to explore and build techniques for cyber threat detection and other novel usages on emerging Intel platforms.

The responsibilities will include, but are not limited to the following:
Research, build, and sustain ML-based solutions to detect behavioral anomalies to detect prevalent cyber-attacks.
Collaborate with the engineering team to do security research and product development.
Prepare and present technical reports on the research results.
The Candidate Should Also Exhibit The Following Behavioral Traits/skills
Highly motivated self-starter.
Effective team player with a continuous learning mindset.
Qualifications

For information on Intel’s immigration sponsorship guidelines, please see Intel U.S. Immigration Sponsorship Information.

You must possess the below minimum qualifications to be initially considered for this position.

Preferred qualifications are in addition to the minimum qualifications and are considered a plus factor in identifying top candidates.

Minimum Qualifications
Must have an MS or Ph.D. degree in the field of Computer Science, Computer Engineering or Mathematics (and closely related areas).
5+ years of experience in ML/AI, Data Analysis, Feature Engineering, Model Generation and Prototyping (may include graduate school experience).
Solid knowledge of machine learning, statistics, and math.
Expertise in Python programming (or C/C++)and common statistical and ML libraries.
Preferred Qualifications
Working experiences in cyber security, malware analysis, and detection.
Knowledge of Operating Systems, C/C++ programming and data structures, CPU architectures.
Requirements listed would be obtained through a combination of industry-relevant job experience, internship experiences, and or school work/classes/research.

Inside this Business Group

Enable amazing computing experiences with Intel Software continues to shape the way people think about computing – across CPU, GPU, and FPGA architectures. Get your hands on new technology and collaborate with some of the smartest people in the business. Our developers and software engineers work in all software layers, across multiple operating systems and platforms to enable cutting-edge solutions. Ready to solve some of the most complex software challenges? Explore an impactful and innovative career in Software.

Other Locations

US, Oregon, Hillsboro;Virtual US and Canada

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Annual Salary Range for jobs which could be performed in US, Colorado:

$113,500.00-$170,120.00

Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, and benefit programs. Find more information about our Amazing Benefits here

Work Model for this Role

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.

Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here"
4,Part-Time Data Scientist (Remote),"KBR, Inc.","Lexington Park, MD","Searching for a Data Scientist capable of learning to independently identify data-driven solutions. This applicant is expected to have exposure to completing end-to-end data science. In addition, they are familiar standard data science approaches such as data ingest, ETL, preprocessing, model building, model deploying, and monitoring models once deployed.

Job Description
Appropriately ingesting and processing data to meet specific analytic or predictive goal
Research and identify most accurate model architecture to meet customer needs.
Contribute to collaborative data science meeting by presenting on theoretical or applied data science topics
Demonstrate the ability to troubleshoot in cloud compute environments such as AWS, Azure, and Google Cloud
Contribute to discussions with customer about meeting deliverables
Develop visualizations to convey meaningful insights
Present insights from models to non-technical crowd to convey findings
Suggest meaningful approaches and services to addressing problems.
Stay informed about trends and recent capabilities within data science.
Identify ways to optimize computational resources for current problem
Requirements
Advanced degree in or completing a degree data science, statistics, computer science, or a relative quantitative field.
Proficiency in Python or R is preferred. Other equivalent languages are considered.
Understanding of relational database querying language such as SQL
Competent in machine learning and neural network techniques
Demonstrates history of designing and overseeing data-centered projects
Ability to explain insights in laymen’s terms in order inform business decisions
Proficiency with one more neural network framework – Tensorflow, Torch/ PyTorch, ONNX, etc.
Familiar with distributed compute environments such as Hadoop."
5,Data Scientist,Schneider Electric,"Andover, MA","What will you do?
Develop Schneider Electric and IT Division subject-matter expertise
Work with product managers to better understand internal and external customer pain points, needs, and expectations
Be a trusted partner to other SE and ITD analytics and software teams and enable them to use data to run analytics at scale and integrate IoT analytics within product platforms
Create proof-of-concepts and prototypes of data science solutions in Python or R with reproducible and well-documented code
Demonstrate and illustrate performance of methods to stakeholders through data visualization packages and platforms.
Work with Big Data and Machine Learning modeling

What qualifications will make you successful?
A recent graduate or currently enrolled in a Computer Science, Engineering, Mathematics, Statistics, or related technical degree program at an accredited institution (undergraduate or master’s degree expected; PhD is a big plus)
Technical programming project or work experience is a plus (particularly coding in Python, PySpark, Scala or R)
Must be in good academic standing and have a GPA of at least 3.0
Self-managed, disciplined and committed to working in a fast-paced environment
Good written and verbal communication skills
Excellent problem-solving skills
Strong interpersonal skills and ability to work effectively in a team environment

What's in it for me?
This role provides you with the opportunity to apply data science to the rapidly growing Internet of Things. Our models are embedded in products and offers that support critical infrastructure across a multitude of industries.

Who will you report to?

Data Scientist Director

Let us learn about you! Apply today.

Why us?

Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.

€25.7bn global revenue

137 000+ employees in 100+ countries

45% of revenue from IoT

5% of revenue devoted for R&D

You must submit an online application to be considered for any position with us. This position will be posted until filled

It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such."
6,Data Scientist - IBM Client Engineering,IBM,"New York, NY","550219BR

Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible.

Your Role and Responsibilities

As a Data Scientist working at the IBM Client Engineering, you will be the Subject Matter Expert on ML, Data and AI Statistical models and how they apply to business problems.

Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches.

You will act as a key contributor partnering with clients to understand business problems and propose solutions.

You will deliver meaningful insights and predicts emerging trends to inform business solutions that optimize client value.

You will contribute to co-creation of rapid proofs of concept and minimally viable solutions that demonstrate business value, leading to client investment in strategic solutions.

To Be Successful In This Role You

are creative, out of the box thinker, you dare to try new ideas and innovation is always on your mind.
are familiar with Data Engineering techniques to gather, prepare, cleanse, and transform client data for analysis and AI automation, including automating data pipelines
Demonstrate strong business acumen and ability to understand business problems, formulate hypotheses and test conclusions to influence solution design
Leverage a variety of structured and unstructured data sources, analytics, AI tools, and programming languages to derive meaningful data insights (e.g., Python, R, Spark, TensorFlow, Jupyter, etc.)
Possess relevant industry and/or business domain knowledge such as Financial Services/Banking, Retail/Consumer Product, Telco, Public/HealthCare which you will apply to shape solutions
Expand partnerships at all levels of the client organization to identify new opportunities for data science applications

IBMReferred_NorthAmerica

Required Technical and Professional Expertise

At least 4 years as a Data Scientist with a deep understanding of Statistics, Machine Learning, NLP/NLU
At least 4 years of experience with identifying data sources, transforming data, and the use of Frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML models
At least 2 -4 years in a client facing role, including facilitating client discussions and problem framing
Creative mind and out of the box thinking and you write code with Python, R, Scala, Java, C++ & G0

Preferred Technical And Professional Expertise

Masters or PhD in a highly quantitative field (Data Science, Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)
Experience Consulting with client and taking on and solving complex business problems related to data, Ability to thrive in a startup environment and deliver on the end goals
Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment
Experience and Ability to work across multi clouds (IBM, AWS, GCP and Azure)

About Business Unit

IBM has a global presence, operating in more than 175 countries with a broad-based geographic distribution of revenue. The company’s Global Markets organization is a strategic sales business unit that manages IBM’s global footprint, working closely with dedicated country-based operating units to serve clients locally. These country teams have client relationship managers who lead integrated teams of consultants, solution specialists and delivery professionals to enable clients’ growth and innovation. By complementing local expertise with global experience and digital capabilities, IBM builds deep and broad-based client relationships. This local management focus fosters speed in supporting clients, addressing new markets and making investments in emerging opportunities. Additionally, the Global Markets organization serves clients with expertise in their industry as well as through the products and services that IBM and partners supply. IBM is also expanding its reach to new and existing clients through digital marketplaces.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.

12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

This position is eligible for participation in an IBM sales incentive plan. Actual incentive opportunity will be based on performance and the eligible Target Incentive, as addressed in the applicable plan, all of which is subject to change.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
7,Data Scientist,RM Talent Solutions,"Connecticut, United States","Important: This job post is not an opportunity to work for RM Talent Solutions. We work with RippleMatch which is a recruitment platform and encourage students to sign up on RippleMatch. Once you apply for this job position, we will chat with you to further assist you about how to create a profile on RM and help you with your applications.
About Us

RM Talent Solutions is a platform that helps business grow and operate. RippleMatch is one of our clients which is a job matching platform that helps companies such as Texas Instruments, Anheuser-Busch, Siemens, eBay, and hundreds more recruit faster and with more convenience.

We are shaping the way college students find jobs and internships. We work with several top-tier companies, Fortune 500's, start-ups, and non-profits.
We use Artificial Intelligence which makes sure that companies find the best candidates for their job roles and students find best positions where they get a higher chance to secure a job/internship than the traditional recruitment methods.

If you meet the below eligibility criteria, please apply and our recruitment team will connect with you to understand your strengths and strategize your career ahead.

We aim to build a strong connection with all of our applicants, so that we may help them achieve their career goals both today and in the future.

Eligibility Criteria:
Your undergraduate graduation year is 2022 or later.
You are working towards a Bachelor's/Master’s/Ph.D degree.

Job Requirements:
To apply for a Data Scientist Internship, candidates must meet thefollowing requirements
Minimum GPA: 3.0 strongly preferred, may consider 2.7 and above.
Develop sustainable work streams for bringing in new data, including working with the data lake team on AI model development for pulling data from documents.
Work with the data lake team to bring all data into the data lake.
Utilize AWS and run SQL queries to view data.
Work Authorization: Applicants must be legally authorized for employment in the United States without the need for current or future employer-sponsored work authorization
Desire to work within the United States
Apply now and we'll connect with you to explore your best matches!"
8,Intern - Data Scientist,Pitney Bowes,"Shelton, CT","At Pitney Bowes, we do the right thing, the right way. As a member of our team, you can too.

We have amazing people who are the driving force, the inspiration and foundation of our company. Our thriving culture can be broken down into four components: Client. Team. Win. Innovate.

We Actively Look For Prospects Who
Are passionate about client success.
Enjoy collaborating with others.
Strive to exceed expectations.
Move boldly in the quest for superior and best in market solutions.
Job Description

As an intern Pitney Bowes will
Provide the opportunity to grow and develop your career with an experienced team of peers.
Offer an inclusive environment that encourages diverse perspectives and ideas.
Deliver challenging and unique opportunities contributing to PB’s Digitial transformation.
We Actively Look For Prospects Who
Are passionate about the excellent customer experiences and client success.
Enjoy innovating and collaborating with others on meaningful projects.
Strive to achieve results outside the box and exceed expectations.
Move boldly in the quest for superior products and best in-market solutions.
Deeply interested in data science challenges related to logistics optimization
This position will start in mid May and terminate the 2nd week in August. Time are flexible. The job is virtual, however you are encouraged to visit the facility in Shelton, CT if convenient. As a Data Science Intern, you will
Assist in the development and execution of common algorithms and determine analytical approaches and modeling techniques to evaluate potential future outcomes.
Embrace a measurable and repeatable analytics delivery model with proven industry methodologies and tools.
Interact with internal and external peers and stakeholders to share highly complex information/solutions related to areas of expertise and/or to gain acceptance of new or enhanced technology/ business solutions.
Demonstrated ability to communicate technical ideas and results to non-technical clients in written and verbal form.
Qualifications
BS, MA/MS, or PhD in Computer Science/Engineering, Data Science, Mathematics or Statistics.
Experience in building and implementing prediction models and forecasting models with machine learning libraries in Python (Skilearn, TensorFlow, Keras, Gurobi Sanborn, Scipy, Pandas, matplotlib).
Proficiency in SQL and familiarity with BI tools (e.g. Tableau, PowerBI).
Experience using common data platform tools like AWS, Snowflake, etc…
Our Team

Pitney Bowes Commerce Cloud Data & Analytics team is focused on delivering strategically-impactful products to our external and internal customers, by building analytically-based solutions that integrate a wide range of internal and external large datasets.

We Will
Provide the opportunity to grow and develop your career
Offer an inclusive environment that encourages diverse perspectives and ideas
Deliver challenging and unique opportunities to contribute to the success of a transforming organization
Offer comprehensive benefits globally (pbprojectliving.com)
Pitney Bowes is an Equal Employment Opportunity/Affirmative Action Employer that values diversity and inclusiveness in the workplace.

Women/Men/Veterans/Individuals with Disabilities/LGBTQ+ are encouraged to apply.

All interested individuals must apply online. Individuals with disabilities who cannot apply via our online application should refer to the alternate application options via our Individuals with Disabilities link."
9,Data Scientist - Experimentation and Causal Inference,Twitter,"Seattle, WA","Drive the research direction in developing methods and tools that increase the rigor and efficiency of our experimentation platform and analyses that are constructed using causal inference techniques.

Lead education initiatives by conducting literature reviews and by promoting the adoption of good statistical practices through efforts such as instructing at Twitter University and building new processes.

Write and collaborate on production code in Scala to implement new methods.

Consult with other teams across Twitter on complicated experimental designs and on analyses estimating causal effects.



Qualifications

Advanced degree in a discipline that uses mathematical analysis and 2+ years of experience (or 4+ years of total experience).
Significant experience and excitement with one or more of the following: advanced statistical techniques for A/B testing, methods for experimental design, observational causal inference, or quasi-experimental analysis. Examples include: quantile testing, sequential testing, variance reduction techniques, variance estimation for ratio metrics, multi-level / hierarchical modeling, statistical surrogate modeling, matching methods, regression adjustment, structural equation models, instrumental variables, regression discontinuity design, and graphical approaches to causal inference.

Track record for executing independent projects and leading complex, multi-functional projects with several dependencies.

Strong proficiency with Python / R and SQL.

Excitement to work with production engineering systems that are written in Scala and Scalding.

Experience with scaling experimentation systems and Spark is a plus.



Additional Information

Job opportunities should be equal. We don't discriminate. Period. In legal terms, that means: Twitter is an equal opportunity employer and doesn’t discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any other legally protected status.

San Francisco applicants: In response to the San Francisco Fair Chance Ordinance, we’d like to mention that we consider qualified applicants with arrest and conviction records.

Notice (Colorado Equal Pay for Equal Work Act)

The expected salary range for this role to be performed in Colorado is USD$191,000.00 - USD$267,000.00. Starting pay for the successful applicant will depend on a variety of job-related factors, which may include education, training, experience, location, business needs, or market demands. This range may be modified in the future.

This job is also eligible for participation in Twitter’s Performance Bonus Plan and Equity Incentive Plan subject to the terms of the applicable plans and policies.

Twitter offers a wide range of benefits to U.S.-based employees, including medical, dental, and vision insurance, 401(k) program with employer match, generous time off for vacation, sick time, and parental leave. Twitter's benefits prioritize employee wellness and progressive support to our diverse workforce."
